date_time,latitude,longitude,moisture,humidity,temperature
2020-09-19 19:05:39 +00:00,39.085321,-123.482091,80,80,21.3
2020-09-19 19:05:39 +00:00,39.085285,-123.482043,82.2,82.2,23.1
2020-09-19 19:05:39 +00:00,39.085256,-123.48187,81.6,81.6,21.3
2020-09-19 19:05:39 +00:00,39.08533,-123.48187,84.6,84.6,22.5
2020-09-19 19:05:39 +00:00,39.085055,-123.481694,80.11,80.11,23.5
2020-09-19 19:05:39 +00:00,39.085452,-123.481867,79.25,79.25,21.9
2020-09-19 19:05:39 +00:00,39.085174,-123.481593,60.14,60.14,20.5
2020-09-19 19:05:39 +00:00,39.084789,-123.481282,31.29,31.29,24.3
2020-09-19 19:05:39 +00:00,39.084825,-123.481314,63.45,63.45,21.3
2020-09-19 19:05:39 +00:00,39.085178,-123.482628,75.2,75.2,23.3
2020-09-19 19:05:39 +00:00,39.085144,-123.482201,80.14,80.14,26.59
2020-09-19 19:05:39 +00:00,39.084884,-123.481865,82.15,82.15,24.1
2020-09-19 19:05:39 +00:00,39.085051,-123.480925,86.23,86.23,23.1
2020-09-19 19:05:39 +00:00,39.085249,-123.48072,88.45,88.45,21.5
2020-09-19 19:05:39 +00:00,39.086003,-123.480618,84,84,21.8
2020-09-19 19:05:39 +00:00,39.085991,-123.480378,83.21,83.21,22.1
2020-09-19 19:05:39 +00:00,39.085844,-123.480613,89.15,89.15,23.5
2020-09-19 19:05:39 +00:00,39.085793,-123.480204,90.12,90.12,24.8
2020-09-19 19:05:39 +00:00,39.085602,-123.480194,94.32,94.32,27.2
2020-09-19 20:05:39 +00:00,39.085321,-123.482091,88.25,88.25,20.3
2020-09-19 20:05:39 +00:00,39.085285,-123.482043,84.13,84.13,206
2020-09-19 20:05:39 +00:00,39.085256,-123.48187,82.54,82.54,21.3
2020-09-19 20:05:39 +00:00,39.08533,-123.48187,88.21,88.21,23.4
2020-09-19 20:05:39 +00:00,39.085055,-123.481694,80.12,80.12,20.7
2020-09-19 20:05:39 +00:00,39.085452,-123.481867,77.45,77.45,20.9
2020-09-19 20:05:39 +00:00,39.085174,-123.481593,73.21,73.21,20.1
2020-09-19 20:05:39 +00:00,39.084789,-123.481282,65.21,65.21,21.3
2020-09-19 20:05:39 +00:00,39.084825,-123.481314,33.45,33.45,22.4
2020-09-19 20:05:39 +00:00,39.085178,-123.482628,42.11,42.11,23.1
2020-09-19 20:05:39 +00:00,39.085144,-123.482201,52.99,52.99,21.2
2020-09-19 20:05:39 +00:00,39.084884,-123.481865,60.24,60.24,20.3
2020-09-19 20:05:39 +00:00,39.085051,-123.480925,70.23,70.23,20.6
2020-09-19 20:05:39 +00:00,39.085249,-123.48072,75.25,75.25,20.9
2020-09-19 20:05:39 +00:00,39.086003,-123.480618,80.26,80.26,21.2
2020-09-19 20:05:39 +00:00,39.085991,-123.480378,84.21,84.21,23.4
2020-09-19 20:05:39 +00:00,39.085844,-123.480613,86.24,86.24,22.4
2020-09-19 20:05:39 +00:00,39.085793,-123.480204,84.36,84.36,25.4
2020-09-19 20:05:39 +00:00,39.085602,-123.480194,85.12,85.12,26.2
